author,updated_at,like_count,text,public,language
@vitabivana,2024-02-05T01:28:57Z,0,"Belum selesai Mobil Listrik, sudah ada Mobil Hydrogen",True,id
@aliefromadhon5544,2024-02-04T09:20:20Z,0,"nah ini permasalahan adalah kalau SPBU Hidrogen dipegang oleh pertamina maka harga akan menjadi seperti BBM yang sekarang
banyak drama mengenai SUBSIDI energi lagi dan kalau pemerintah kekurangan dana maka akan semena-mena dalam tarif",True,id
@oholaoholiba6467,2024-02-04T03:39:01Z,0,jml bansos nya brp 🤔 udah tepat sasaran blom,True,id
@yantopomo,2024-02-04T01:35:12Z,0,"kalau terbukti lebih murah pasti banyak yang pakai, tapi katanya harga per-kilometer-nya bisa 8 kali bbm dan utk memproduksi hidrogen tetap perlu bbm... itulah kenapa belum ada pesawat komersial bermesin hidrogen. formula mobil hidrogen jg belum ada.  kita tunggu saja insinyur2 jepang menghasilkan inovasi produksi hidrogen yang jauh lebih murah dan ramah lingkungan. sementara kita pakai avanza, xenia dkk yang bengkelnya ada seantero nusantara. atau mungkin udah keduluan wuling, byd, cherry dkk membanjiri nusantara dengan mobil dan motor listrik yang murah meriah.",True,id
@HasanBabe-fu9cq,2024-02-04T00:47:00Z,0,Terus alternatif solar apa bu🙏,True,id
@jagatartstudio,2024-02-03T23:58:26Z,0,apakag bbm hidrogen ini penemunya pak aryanto misel??,True,id
@jagatartstudio,2024-02-03T23:56:47Z,0,negara harus segera menciptakan solusi cepat BBM yg ramah lingkungan dan bisa di distribusikan di tiap desa. soalnya pengecer BBM di larang. sdangkan ini berteolak belakang dg situasi kondisi. ya pejabat atas mungkin gak pernah merasakan yg namanya dorong motor dan mobil berkilo2 meter ya?,True,id
@berliansyafaat8023,2024-02-02T01:46:20Z,0,"Lebih percaya hydrogen sebagai ""green alternative"" daripada mobil baterai 😆",True,id
@muhamadidris3407,2024-02-01T23:41:14Z,0,Mantaaap semoga Indonesia tidak mengimpor minyak agar mengurangi defisit anggaran APBN,True,id
@yogirprayogi6332,2024-02-01T11:15:53Z,0,"Mantap Pertamina. 
Semoga harga mobil H2 nya nanti tidak mahal.",True,id
@martinjack2623,2024-02-01T04:56:14Z,0,Klu pk ahox yg berbicara saya yakin dia tegas dn nyata maju pk ahox 👍👍👍,True,id
@MusaWilmar,2024-02-01T04:17:28Z,0,"mudah mudahan tambang hidrogen nya bukan dari PLTD tapi dari alam windmill, solar dll",True,id
@MusaWilmar,2024-02-01T04:15:50Z,0,siiip.... mudah mudahan mobil hidrogen cepet bisa dijual.... gantiin mobil listrik,True,id
@rioharyadi7265,2024-01-31T11:10:09Z,1,❤🎉wow..... selamat,True,id
@teguhwibisono8076,2024-01-31T10:47:22Z,1,"Hebat Pertamina pecah telor untuk Bahan bakar Hydrogen, mudah2an SPBU Hydrogen ini banyak dibangun di banyak tempat.",True,id
@herriprasetyo1321,2024-01-31T04:16:41Z,0,Woow keren pertamina aku turut bangga atas pecapaian pertamina yg terus beinovasi,True,id
@ubisolim6515,2024-01-31T02:32:12Z,0,Harga mobil hidrogen mahal atau murah ya ?,True,id
@ampstudiomusic,2024-01-31T02:14:25Z,0,mending beli mobil bhan hidrogen dr pada beli kndartaan listrik,True,id
@wachidmujizat6572,2024-01-31T00:43:22Z,0,Apakah lebih murah secara ekonomis dari premium atau solar?,True,id
@atrisna4503,2024-01-30T16:02:51Z,0,"Kendaraan berbahan bakar hidrogen akan cepat diserap masyarakat kalau harganya terjangkau kalangan menengah ke bawah. Maka tujuan menjadi negara dengan energi bersih cepat tercapai
Jangan seperti mobil dan motor listrik yg harganya selangit, siapa juga yg sanggup beli, hanya segelintir orang",True,id
