clean_sw,comment_en,klasifikasi_blob,klasifikasi_bayes
selesai ada hydrogen,done there is hydrogen,Netral,Netral
nah masalah kalau spbu hidrogen pegang pertamina harga jadi bbm sekarang banyak drama kena subsidi energi dan kalau perintah kurang dana akan semena mena tarif,well the problem is if the hydrogen SPBU holds the price of Pertamina so bbm now there are many dramas with energy subsidies and if the order is underfunded it will arbitrarily reduce the tariff,Positif,Positif
jumlah bansos nya berapa tepat sasar blom,the number of bansos is how precise is the target of blom,Positif,Positif
kalau bukti lebih murah banyak pakai kata harga per kilometer nya kali bbm untuk produksi hidrogen tetap perlu bbm kenapa pesawat komersial mesin hidrogen formula hidrogen belum kita tunggu insinyur hasil inovasi produksi hidrogen jauh lebih murah ramah lingkung kita pakai avanza xenia lain bengkel ada seluruhnusantara mungkin lebih dulu wuling byd cherry lain banjir nusantara dan motor murah riah,"if the evidence is cheaper to use the word price per kilometer, the bbm times for hydrogen production still need bbm why do commercial aircraft hydrogen engines hydrogen formulas we have not waited for engineers resulting from hydrogen production innovations are much cheaper environmentally friendly we use avanza xenia other workshops there are all over the archipelago maybe first wuling byd cherry other floods of the archipelago and cheap motorbikes",Positif,Positif
terus alternatif solar apa bu,directly what solar alternative ma'am,Positif,Positif
bbm hidrogen temu pak aryanto misel,hydrogen bbm meet sir aryanto micel,Netral,Netral
negara segera cipta solusi cepat bbm ramah lingkung bisa distribusi tiap desa soal ecer bbm larang ini tolak belakang situasi kondisi jabat atas mungkin pernah rasa nama dorong motor kilo meter,"the state immediately creates a quick solution for environmentally friendly bbm, can the distribution of each village about ecer bbm ban, reject the situation behind the shaking conditions, you may have felt the name of the push of a kilo meter motor",Positif,Positif
lebih percaya hidrogensebagai green alternative,more trust in hydrogens as a green alternative,Positif,Positif
bagus moga indonesia impor minyak kurang defisit anggar apbn,good may indonesia oil import less apbn fencing deficit,Positif,Positif
bagus pertamina moga harga hidrogen nya tidak mahal,good pertamina let's hope the price of hydrogen is not expensive,Positif,Positif
kalau pak ahox bicara yakin tegas nyata maju pak ahox,"if Mr. Ahox speaks, he is sure that he is really going forward, Mr. Ahox",Positif,Positif
mudah mudah tambang hidrogen nya bukan pltd dari alam windmill solar,easy easy hydrogen mine is not pltd from the solar windmill,Positif,Positif
baik mudah mudah hidrogen cepat jual ganti listrik,good easy easy hydrogen quick sell electrical replacement,Positif,Positif
wah selamat,well congratulations,Netral,Netral
hebat pertamina pecah telor bahan bakar hidrogen mudah an spbu hidrogenini banyak bangun banyak tempat,great pertamina broke easy hydrogen fuel eggs an spbu hydrogenini build lots of places,Positif,Positif
wah keren pertamina aku ikut bangga atas capai pertamina terus beinovasi,wow cool pertamina I'm proud of achieving pertamina keep innovating,Positif,Positif
harga hidrogen mahal murah,cheap expensive hydrogen price,Negatif,Negatif
mending beli bahan hidrogen pada beli kendara listrik,making a purchase of hydrogen materials in buying electric vehicles,Netral,Netral
lebih murah ekonomis premium solar,cheaper premium solar economy,Netral,Netral
kendara bahan bakar hidrogen cepat serap masyarakat kalau harga jangkau kalang tengah bawah tuju jadi negara energi bersih cepat capai jangan dan motor harga langit siapa yang sanggup beli bagi orang,hydrogen fuel vehicles quickly absorb the community if the price reaches the middle and bottom of the road to become a country of clean energy quickly achieve not and motor sky price who can buy for people,Positif,Positif
